"sample","virus","uniquely_mapped_reads","multi_mapped_reads","total_mapped_reads","disease","cell_type"
"SRR22753413","HSV1_KOS","1","13","14","Control","CD8"
"SRR22753413","HSV2_StrainG","2","1","3","Control","CD8"
"SRR22753413","KSHV","1","3","4","Control","CD8"
"SRR22753413","VZV_Ellen","0","0","0","Control","CD8"
"SRR22753414","combined_herpes_viruses","10","51","61","Juvenile Dermatomyositis","CD8"
"SRR22753414","EBV","0","0","0","Juvenile Dermatomyositis","CD8"
"SRR22753414","HCMV","1","0","1","Juvenile Dermatomyositis","CD8"
"SRR22753414","HHV6B","1","6","7","Juvenile Dermatomyositis","CD8"
"SRR22753414","HHV7","0","0","0","Juvenile Dermatomyositis","CD8"
"SRR22753414","HSV1_KOS","8","47","55","Juvenile Dermatomyositis","CD8"
"SRR22753414","HSV2_StrainG","1","7","8","Juvenile Dermatomyositis","CD8"
"SRR22753414","KSHV","5","2","7","Juvenile Dermatomyositis","CD8"
