sample,shared_reads,total_reads_EBV,total_reads_HCMV,total_reads_HHV6B,total_reads_HHV7,total_reads_HSV1_KOS,total_reads_HSV2_StrainG,total_reads_KSHV,total_reads_VZV_Ellen,total_reads_combined_herpes_viruses,unique_to_EBV,unique_to_HCMV,unique_to_HHV6B,unique_to_HHV7,unique_to_HSV1_KOS,unique_to_HSV2_StrainG,unique_to_KSHV,unique_to_VZV_Ellen,unique_to_combined_herpes_viruses,virus_1,virus_2
SRR22753387,0,,0,,,,3,,,,,0,,,,3,,,,HSV2_StrainG,HCMV
SRR22753387,0,,,,,,3,,0,,,,,,,3,,0,,HSV2_StrainG,VZV_Ellen
SRR22753387,0,0,,,,,3,,,,0,,,,,3,,,,HSV2_StrainG,EBV
SRR22753387,0,,,,0,,3,,,,,,,0,,3,,,,HSV2_StrainG,HHV7
SRR22753387,0,,,,,,3,,,132,,,,,,3,,,132,HSV2_StrainG,combined_herpes_viruses
SRR22753387,1,,,2,,,3,,,,,,1,,,2,,,,HSV2_StrainG,HHV6B
SRR22753387,0,,,,,,3,3,,,,,,,,3,3,,,HSV2_StrainG,KSHV
SRR22753387,0,,,,,169,3,,,,,,,,169,3,,,,HSV2_StrainG,HSV1_KOS
SRR22753387,0,,0,,,,,,0,,,0,,,,,,0,,HCMV,VZV_Ellen
SRR22753387,0,0,0,,,,,,,,0,0,,,,,,,,HCMV,EBV
SRR22753387,0,,0,,0,,,,,,,0,,0,,,,,,HCMV,HHV7
SRR22753387,0,,0,,,,,,,132,,0,,,,,,,132,HCMV,combined_herpes_viruses
SRR22753387,0,,0,2,,,,,,,,0,2,,,,,,,HCMV,HHV6B
SRR22753387,0,,0,,,,,3,,,,0,,,,,3,,,HCMV,KSHV
SRR22753387,0,,0,,,169,,,,,,0,,,169,,,,,HCMV,HSV1_KOS
SRR22753387,0,0,,,,,,,0,,0,,,,,,,0,,VZV_Ellen,EBV
SRR22753387,0,,,,0,,,,0,,,,,0,,,,0,,VZV_Ellen,HHV7
SRR22753387,0,,,,,,,,0,132,,,,,,,,0,132,VZV_Ellen,combined_herpes_viruses
SRR22753387,0,,,2,,,,,0,,,,2,,,,,0,,VZV_Ellen,HHV6B
SRR22753387,0,,,,,,,3,0,,,,,,,,3,0,,VZV_Ellen,KSHV
SRR22753387,0,,,,,169,,,0,,,,,,169,,,0,,VZV_Ellen,HSV1_KOS
SRR22753387,0,0,,,0,,,,,,0,,,0,,,,,,EBV,HHV7
SRR22753387,0,0,,,,,,,,132,0,,,,,,,,132,EBV,combined_herpes_viruses
SRR22753387,0,0,,2,,,,,,,0,,2,,,,,,,EBV,HHV6B
SRR22753387,0,0,,,,,,3,,,0,,,,,,3,,,EBV,KSHV
SRR22753387,0,0,,,,169,,,,,0,,,,169,,,,,EBV,HSV1_KOS
SRR22753387,0,,,,0,,,,,132,,,,0,,,,,132,HHV7,combined_herpes_viruses
SRR22753387,0,,,2,0,,,,,,,,2,0,,,,,,HHV7,HHV6B
SRR22753387,0,,,,0,,,3,,,,,,0,,,3,,,HHV7,KSHV
SRR22753387,0,,,,0,169,,,,,,,,0,169,,,,,HHV7,HSV1_KOS
SRR22753387,0,,,2,,,,,,132,,,2,,,,,,132,combined_herpes_viruses,HHV6B
SRR22753387,0,,,,,,,3,,132,,,,,,,3,,132,combined_herpes_viruses,KSHV
SRR22753387,94,,,,,169,,,,132,,,,,75,,,,38,combined_herpes_viruses,HSV1_KOS
SRR22753387,0,,,2,,,,3,,,,,2,,,,3,,,HHV6B,KSHV
SRR22753387,0,,,2,,169,,,,,,,2,,169,,,,,HHV6B,HSV1_KOS
SRR22753387,0,,,,,169,,3,,,,,,,169,,3,,,KSHV,HSV1_KOS
SRR22753387,3,,,,,,3,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753387,0,,0,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753387,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753387,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753387,0,,,,0,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753387,132,,,,,,,,,132,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753387,2,,,2,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753387,3,,,,,,,3,,,,,,,,,0,,,KSHV,KSHV
SRR22753387,169,,,,,169,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753413,0,0,,,,12,,,,,0,,,,12,,,,,HSV1_KOS,EBV
SRR22753413,0,,,,,12,,1,,,,,,,12,,1,,,HSV1_KOS,KSHV
SRR22753413,0,,,,0,12,,,,,,,,0,12,,,,,HSV1_KOS,HHV7
SRR22753413,0,,,,,12,3,,,,,,,,12,3,,,,HSV1_KOS,HSV2_StrainG
SRR22753413,0,,0,,,12,,,,,,0,,,12,,,,,HSV1_KOS,HCMV
SRR22753413,0,,,,,12,,,0,,,,,,12,,,0,,HSV1_KOS,VZV_Ellen
SRR22753413,0,,,0,,12,,,,,,,0,,12,,,,,HSV1_KOS,HHV6B
SRR22753413,9,,,,,12,,,,10,,,,,3,,,,1,HSV1_KOS,combined_herpes_viruses
SRR22753413,0,0,,,,,,1,,,0,,,,,,1,,,EBV,KSHV
SRR22753413,0,0,,,0,,,,,,0,,,0,,,,,,EBV,HHV7
SRR22753413,0,0,,,,,3,,,,0,,,,,3,,,,EBV,HSV2_StrainG
SRR22753413,0,0,0,,,,,,,,0,0,,,,,,,,EBV,HCMV
SRR22753413,0,0,,,,,,,0,,0,,,,,,,0,,EBV,VZV_Ellen
SRR22753413,0,0,,0,,,,,,,0,,0,,,,,,,EBV,HHV6B
SRR22753413,0,0,,,,,,,,10,0,,,,,,,,10,EBV,combined_herpes_viruses
SRR22753413,0,,,,0,,,1,,,,,,0,,,1,,,KSHV,HHV7
SRR22753413,0,,,,,,3,1,,,,,,,,3,1,,,KSHV,HSV2_StrainG
SRR22753413,0,,0,,,,,1,,,,0,,,,,1,,,KSHV,HCMV
SRR22753413,0,,,,,,,1,0,,,,,,,,1,0,,KSHV,VZV_Ellen
SRR22753413,0,,,0,,,,1,,,,,0,,,,1,,,KSHV,HHV6B
SRR22753413,0,,,,,,,1,,10,,,,,,,1,,10,KSHV,combined_herpes_viruses
SRR22753413,0,,,,0,,3,,,,,,,0,,3,,,,HHV7,HSV2_StrainG
SRR22753413,0,,0,,0,,,,,,,0,,0,,,,,,HHV7,HCMV
SRR22753413,0,,,,0,,,,0,,,,,0,,,,0,,HHV7,VZV_Ellen
SRR22753413,0,,,0,0,,,,,,,,0,0,,,,,,HHV7,HHV6B
SRR22753413,0,,,,0,,,,,10,,,,0,,,,,10,HHV7,combined_herpes_viruses
SRR22753413,0,,0,,,,3,,,,,0,,,,3,,,,HSV2_StrainG,HCMV
SRR22753413,0,,,,,,3,,0,,,,,,,3,,0,,HSV2_StrainG,VZV_Ellen
SRR22753413,0,,,0,,,3,,,,,,0,,,3,,,,HSV2_StrainG,HHV6B
SRR22753413,0,,,,,,3,,,10,,,,,,3,,,10,HSV2_StrainG,combined_herpes_viruses
SRR22753413,0,,0,,,,,,0,,,0,,,,,,0,,HCMV,VZV_Ellen
SRR22753413,0,,0,0,,,,,,,,0,0,,,,,,,HCMV,HHV6B
SRR22753413,0,,0,,,,,,,10,,0,,,,,,,10,HCMV,combined_herpes_viruses
SRR22753413,0,,,0,,,,,0,,,,0,,,,,0,,VZV_Ellen,HHV6B
SRR22753413,0,,,,,,,,0,10,,,,,,,,0,10,VZV_Ellen,combined_herpes_viruses
SRR22753413,0,,,0,,,,,,10,,,0,,,,,,10,HHV6B,combined_herpes_viruses
SRR22753413,12,,,,,12,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753413,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753413,1,,,,,,,1,,,,,,,,,0,,,KSHV,KSHV
SRR22753413,0,,,,0,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753413,3,,,,,,3,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753413,0,,0,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753413,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753413,0,,,0,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753413,10,,,,,,,,,10,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753391,0,,,,,,,1,,104,,,,,,,1,,104,KSHV,combined_herpes_viruses
SRR22753391,0,,,,,,4,1,,,,,,,,4,1,,,KSHV,HSV2_StrainG
SRR22753391,0,,,,0,,,1,,,,,,0,,,1,,,KSHV,HHV7
SRR22753391,0,,,2,,,,1,,,,,2,,,,1,,,KSHV,HHV6B
SRR22753391,0,,,,,127,,1,,,,,,,127,,1,,,KSHV,HSV1_KOS
SRR22753391,0,,0,,,,,1,,,,0,,,,,1,,,KSHV,HCMV
SRR22753391,0,,,,,,,1,0,,,,,,,,1,0,,KSHV,VZV_Ellen
SRR22753391,0,0,,,,,,1,,,0,,,,,,1,,,KSHV,EBV
SRR22753391,0,,,,,,4,,,104,,,,,,4,,,104,combined_herpes_viruses,HSV2_StrainG
SRR22753391,0,,,,0,,,,,104,,,,0,,,,,104,combined_herpes_viruses,HHV7
SRR22753391,1,,,2,,,,,,104,,,1,,,,,,103,combined_herpes_viruses,HHV6B
SRR22753391,84,,,,,127,,,,104,,,,,43,,,,20,combined_herpes_viruses,HSV1_KOS
SRR22753391,0,,0,,,,,,,104,,0,,,,,,,104,combined_herpes_viruses,HCMV
SRR22753391,0,,,,,,,,0,104,,,,,,,,0,104,combined_herpes_viruses,VZV_Ellen
SRR22753391,0,0,,,,,,,,104,0,,,,,,,,104,combined_herpes_viruses,EBV
SRR22753391,0,,,,0,,4,,,,,,,0,,4,,,,HSV2_StrainG,HHV7
SRR22753391,0,,,2,,,4,,,,,,2,,,4,,,,HSV2_StrainG,HHV6B
SRR22753391,0,,,,,127,4,,,,,,,,127,4,,,,HSV2_StrainG,HSV1_KOS
SRR22753391,0,,0,,,,4,,,,,0,,,,4,,,,HSV2_StrainG,HCMV
SRR22753391,0,,,,,,4,,0,,,,,,,4,,0,,HSV2_StrainG,VZV_Ellen
SRR22753391,0,0,,,,,4,,,,0,,,,,4,,,,HSV2_StrainG,EBV
SRR22753391,0,,,2,0,,,,,,,,2,0,,,,,,HHV7,HHV6B
SRR22753391,0,,,,0,127,,,,,,,,0,127,,,,,HHV7,HSV1_KOS
SRR22753391,0,,0,,0,,,,,,,0,,0,,,,,,HHV7,HCMV
SRR22753391,0,,,,0,,,,0,,,,,0,,,,0,,HHV7,VZV_Ellen
SRR22753391,0,0,,,0,,,,,,0,,,0,,,,,,HHV7,EBV
SRR22753391,0,,,2,,127,,,,,,,2,,127,,,,,HHV6B,HSV1_KOS
SRR22753391,0,,0,2,,,,,,,,0,2,,,,,,,HHV6B,HCMV
SRR22753391,0,,,2,,,,,0,,,,2,,,,,0,,HHV6B,VZV_Ellen
SRR22753391,0,0,,2,,,,,,,0,,2,,,,,,,HHV6B,EBV
SRR22753391,0,,0,,,127,,,,,,0,,,127,,,,,HSV1_KOS,HCMV
SRR22753391,0,,,,,127,,,0,,,,,,127,,,0,,HSV1_KOS,VZV_Ellen
SRR22753391,0,0,,,,127,,,,,0,,,,127,,,,,HSV1_KOS,EBV
SRR22753391,0,,0,,,,,,0,,,0,,,,,,0,,HCMV,VZV_Ellen
SRR22753391,0,0,0,,,,,,,,0,0,,,,,,,,HCMV,EBV
SRR22753391,0,0,,,,,,,0,,0,,,,,,,0,,VZV_Ellen,EBV
SRR22753391,1,,,,,,,1,,,,,,,,,0,,,KSHV,KSHV
SRR22753391,104,,,,,,,,,104,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753391,4,,,,,,4,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753391,0,,,,0,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753391,2,,,2,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753391,127,,,,,127,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753391,0,,0,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753391,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753391,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753449,0,0,,,,,,5,,,0,,,,,,5,,,KSHV,EBV
SRR22753449,0,,,,,,1,5,,,,,,,,1,5,,,KSHV,HSV2_StrainG
SRR22753449,0,,,,,5,,5,,,,,,,5,,5,,,KSHV,HSV1_KOS
SRR22753449,0,,,0,,,,5,,,,,0,,,,5,,,KSHV,HHV6B
SRR22753449,0,,,,,,,5,0,,,,,,,,5,0,,KSHV,VZV_Ellen
SRR22753449,0,,,,1,,,5,,,,,,1,,,5,,,KSHV,HHV7
SRR22753449,0,,0,,,,,5,,,,0,,,,,5,,,KSHV,HCMV
SRR22753449,1,,,,,,,5,,8,,,,,,,4,,7,KSHV,combined_herpes_viruses
SRR22753449,0,0,,,,,1,,,,0,,,,,1,,,,EBV,HSV2_StrainG
SRR22753449,0,0,,,,5,,,,,0,,,,5,,,,,EBV,HSV1_KOS
SRR22753449,0,0,,0,,,,,,,0,,0,,,,,,,EBV,HHV6B
SRR22753449,0,0,,,,,,,0,,0,,,,,,,0,,EBV,VZV_Ellen
SRR22753449,0,0,,,1,,,,,,0,,,1,,,,,,EBV,HHV7
SRR22753449,0,0,0,,,,,,,,0,0,,,,,,,,EBV,HCMV
SRR22753449,0,0,,,,,,,,8,0,,,,,,,,8,EBV,combined_herpes_viruses
SRR22753449,0,,,,,5,1,,,,,,,,5,1,,,,HSV2_StrainG,HSV1_KOS
SRR22753449,0,,,0,,,1,,,,,,0,,,1,,,,HSV2_StrainG,HHV6B
SRR22753449,0,,,,,,1,,0,,,,,,,1,,0,,HSV2_StrainG,VZV_Ellen
SRR22753449,0,,,,1,,1,,,,,,,1,,1,,,,HSV2_StrainG,HHV7
SRR22753449,0,,0,,,,1,,,,,0,,,,1,,,,HSV2_StrainG,HCMV
SRR22753449,0,,,,,,1,,,8,,,,,,1,,,8,HSV2_StrainG,combined_herpes_viruses
SRR22753449,0,,,0,,5,,,,,,,0,,5,,,,,HSV1_KOS,HHV6B
SRR22753449,0,,,,,5,,,0,,,,,,5,,,0,,HSV1_KOS,VZV_Ellen
SRR22753449,0,,,,1,5,,,,,,,,1,5,,,,,HSV1_KOS,HHV7
SRR22753449,0,,0,,,5,,,,,,0,,,5,,,,,HSV1_KOS,HCMV
SRR22753449,3,,,,,5,,,,8,,,,,2,,,,5,HSV1_KOS,combined_herpes_viruses
SRR22753449,0,,,0,,,,,0,,,,0,,,,,0,,HHV6B,VZV_Ellen
SRR22753449,0,,,0,1,,,,,,,,0,1,,,,,,HHV6B,HHV7
SRR22753449,0,,0,0,,,,,,,,0,0,,,,,,,HHV6B,HCMV
SRR22753449,0,,,0,,,,,,8,,,0,,,,,,8,HHV6B,combined_herpes_viruses
SRR22753449,0,,,,1,,,,0,,,,,1,,,,0,,VZV_Ellen,HHV7
SRR22753449,0,,0,,,,,,0,,,0,,,,,,0,,VZV_Ellen,HCMV
SRR22753449,0,,,,,,,,0,8,,,,,,,,0,8,VZV_Ellen,combined_herpes_viruses
SRR22753449,0,,0,,1,,,,,,,0,,1,,,,,,HHV7,HCMV
SRR22753449,1,,,,1,,,,,8,,,,0,,,,,7,HHV7,combined_herpes_viruses
SRR22753449,0,,0,,,,,,,8,,0,,,,,,,8,HCMV,combined_herpes_viruses
SRR22753449,5,,,,,,,5,,,,,,,,,0,,,KSHV,KSHV
SRR22753449,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753449,1,,,,,,1,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753449,5,,,,,5,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753449,0,,,0,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753449,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753449,1,,,,1,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753449,0,,0,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753449,8,,,,,,,,,8,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753407,0,,,0,,,,5,,,,,0,,,,5,,,KSHV,HHV6B
SRR22753407,0,,1,,,,,5,,,,1,,,,,5,,,KSHV,HCMV
SRR22753407,0,,,,0,,,5,,,,,,0,,,5,,,KSHV,HHV7
SRR22753407,0,,,,,,3,5,,,,,,,,3,5,,,KSHV,HSV2_StrainG
SRR22753407,0,,,,,267,,5,,,,,,,267,,5,,,KSHV,HSV1_KOS
SRR22753407,0,,,,,,,5,0,,,,,,,,5,0,,KSHV,VZV_Ellen
SRR22753407,0,,,,,,,5,,202,,,,,,,5,,202,KSHV,combined_herpes_viruses
SRR22753407,0,0,,,,,,5,,,0,,,,,,5,,,KSHV,EBV
SRR22753407,0,,1,0,,,,,,,,1,0,,,,,,,HHV6B,HCMV
SRR22753407,0,,,0,0,,,,,,,,0,0,,,,,,HHV6B,HHV7
SRR22753407,0,,,0,,,3,,,,,,0,,,3,,,,HHV6B,HSV2_StrainG
SRR22753407,0,,,0,,267,,,,,,,0,,267,,,,,HHV6B,HSV1_KOS
SRR22753407,0,,,0,,,,,0,,,,0,,,,,0,,HHV6B,VZV_Ellen
SRR22753407,0,,,0,,,,,,202,,,0,,,,,,202,HHV6B,combined_herpes_viruses
SRR22753407,0,0,,0,,,,,,,0,,0,,,,,,,HHV6B,EBV
SRR22753407,0,,1,,0,,,,,,,1,,0,,,,,,HCMV,HHV7
SRR22753407,0,,1,,,,3,,,,,1,,,,3,,,,HCMV,HSV2_StrainG
SRR22753407,0,,1,,,267,,,,,,1,,,267,,,,,HCMV,HSV1_KOS
SRR22753407,0,,1,,,,,,0,,,1,,,,,,0,,HCMV,VZV_Ellen
SRR22753407,0,,1,,,,,,,202,,1,,,,,,,202,HCMV,combined_herpes_viruses
SRR22753407,0,0,1,,,,,,,,0,1,,,,,,,,HCMV,EBV
SRR22753407,0,,,,0,,3,,,,,,,0,,3,,,,HHV7,HSV2_StrainG
SRR22753407,0,,,,0,267,,,,,,,,0,267,,,,,HHV7,HSV1_KOS
SRR22753407,0,,,,0,,,,0,,,,,0,,,,0,,HHV7,VZV_Ellen
SRR22753407,0,,,,0,,,,,202,,,,0,,,,,202,HHV7,combined_herpes_viruses
SRR22753407,0,0,,,0,,,,,,0,,,0,,,,,,HHV7,EBV
SRR22753407,0,,,,,267,3,,,,,,,,267,3,,,,HSV2_StrainG,HSV1_KOS
SRR22753407,0,,,,,,3,,0,,,,,,,3,,0,,HSV2_StrainG,VZV_Ellen
SRR22753407,0,,,,,,3,,,202,,,,,,3,,,202,HSV2_StrainG,combined_herpes_viruses
SRR22753407,0,0,,,,,3,,,,0,,,,,3,,,,HSV2_StrainG,EBV
SRR22753407,0,,,,,267,,,0,,,,,,267,,,0,,HSV1_KOS,VZV_Ellen
SRR22753407,154,,,,,267,,,,202,,,,,113,,,,48,HSV1_KOS,combined_herpes_viruses
SRR22753407,0,0,,,,267,,,,,0,,,,267,,,,,HSV1_KOS,EBV
SRR22753407,0,,,,,,,,0,202,,,,,,,,0,202,VZV_Ellen,combined_herpes_viruses
SRR22753407,0,0,,,,,,,0,,0,,,,,,,0,,VZV_Ellen,EBV
SRR22753407,0,0,,,,,,,,202,0,,,,,,,,202,combined_herpes_viruses,EBV
SRR22753407,5,,,,,,,5,,,,,,,,,0,,,KSHV,KSHV
SRR22753407,0,,,0,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753407,1,,1,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753407,0,,,,0,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753407,3,,,,,,3,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753407,267,,,,,267,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753407,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753407,202,,,,,,,,,202,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753407,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753481,0,0,,,,,,,,24,0,,,,,,,,24,EBV,combined_herpes_viruses
SRR22753481,0,0,0,,,,,,,,0,0,,,,,,,,EBV,HCMV
SRR22753481,0,0,,,,,51,,,,0,,,,,51,,,,EBV,HSV2_StrainG
SRR22753481,0,0,,,0,,,,,,0,,,0,,,,,,EBV,HHV7
SRR22753481,0,0,,,,,,44,,,0,,,,,,44,,,EBV,KSHV
SRR22753481,0,0,,,,22,,,,,0,,,,22,,,,,EBV,HSV1_KOS
SRR22753481,0,0,,,,,,,0,,0,,,,,,,0,,EBV,VZV_Ellen
SRR22753481,0,0,,0,,,,,,,0,,0,,,,,,,EBV,HHV6B
SRR22753481,0,,0,,,,,,,24,,0,,,,,,,24,combined_herpes_viruses,HCMV
SRR22753481,1,,,,,,51,,,24,,,,,,50,,,23,combined_herpes_viruses,HSV2_StrainG
SRR22753481,0,,,,0,,,,,24,,,,0,,,,,24,combined_herpes_viruses,HHV7
SRR22753481,7,,,,,,,44,,24,,,,,,,37,,17,combined_herpes_viruses,KSHV
SRR22753481,9,,,,,22,,,,24,,,,,13,,,,15,combined_herpes_viruses,HSV1_KOS
SRR22753481,0,,,,,,,,0,24,,,,,,,,0,24,combined_herpes_viruses,VZV_Ellen
SRR22753481,0,,,0,,,,,,24,,,0,,,,,,24,combined_herpes_viruses,HHV6B
SRR22753481,0,,0,,,,51,,,,,0,,,,51,,,,HCMV,HSV2_StrainG
SRR22753481,0,,0,,0,,,,,,,0,,0,,,,,,HCMV,HHV7
SRR22753481,0,,0,,,,,44,,,,0,,,,,44,,,HCMV,KSHV
SRR22753481,0,,0,,,22,,,,,,0,,,22,,,,,HCMV,HSV1_KOS
SRR22753481,0,,0,,,,,,0,,,0,,,,,,0,,HCMV,VZV_Ellen
SRR22753481,0,,0,0,,,,,,,,0,0,,,,,,,HCMV,HHV6B
SRR22753481,0,,,,0,,51,,,,,,,0,,51,,,,HSV2_StrainG,HHV7
SRR22753481,0,,,,,,51,44,,,,,,,,51,44,,,HSV2_StrainG,KSHV
SRR22753481,0,,,,,22,51,,,,,,,,22,51,,,,HSV2_StrainG,HSV1_KOS
SRR22753481,0,,,,,,51,,0,,,,,,,51,,0,,HSV2_StrainG,VZV_Ellen
SRR22753481,0,,,0,,,51,,,,,,0,,,51,,,,HSV2_StrainG,HHV6B
SRR22753481,0,,,,0,,,44,,,,,,0,,,44,,,HHV7,KSHV
SRR22753481,0,,,,0,22,,,,,,,,0,22,,,,,HHV7,HSV1_KOS
SRR22753481,0,,,,0,,,,0,,,,,0,,,,0,,HHV7,VZV_Ellen
SRR22753481,0,,,0,0,,,,,,,,0,0,,,,,,HHV7,HHV6B
SRR22753481,0,,,,,22,,44,,,,,,,22,,44,,,KSHV,HSV1_KOS
SRR22753481,0,,,,,,,44,0,,,,,,,,44,0,,KSHV,VZV_Ellen
SRR22753481,0,,,0,,,,44,,,,,0,,,,44,,,KSHV,HHV6B
SRR22753481,0,,,,,22,,,0,,,,,,22,,,0,,HSV1_KOS,VZV_Ellen
SRR22753481,0,,,0,,22,,,,,,,0,,22,,,,,HSV1_KOS,HHV6B
SRR22753481,0,,,0,,,,,0,,,,0,,,,,0,,VZV_Ellen,HHV6B
SRR22753481,0,0,,,,,,,,,0,,,,,,,,,EBV,EBV
SRR22753481,24,,,,,,,,,24,,,,,,,,,0,combined_herpes_viruses,combined_herpes_viruses
SRR22753481,0,,0,,,,,,,,,0,,,,,,,,HCMV,HCMV
SRR22753481,51,,,,,,51,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
SRR22753481,0,,,,0,,,,,,,,,0,,,,,,HHV7,HHV7
SRR22753481,44,,,,,,,44,,,,,,,,,0,,,KSHV,KSHV
SRR22753481,22,,,,,22,,,,,,,,,0,,,,,HSV1_KOS,HSV1_KOS
SRR22753481,0,,,,,,,,0,,,,,,,,,0,,VZV_Ellen,VZV_Ellen
SRR22753481,0,,,0,,,,,,,,,0,,,,,,,HHV6B,HHV6B
SRR22753497,0,0,,,,,,,0,,0,,,,,,,0,,VZV_Ellen,EBV
SRR22753497,0,,,,0,,,,0,,,,,0,,,,0,,VZV_Ellen,HHV7
SRR22753497,0,,,,,,,,0,10,,,,,,,,0,10,VZV_Ellen,combined_herpes_viruses
SRR22753497,0,,,,,,,13,0,,,,,,,,13,0,,VZV_Ellen,KSHV
SRR22753497,0,,,2,,,,,0,,,,2,,,,,0,,VZV_Ellen,HHV6B
SRR22753497,0,,,,,8,,,0,,,,,,8,,,0,,VZV_Ellen,HSV1_KOS
SRR22753497,0,,,,,,7,,0,,,,,,,7,,0,,VZV_Ellen,HSV2_StrainG
SRR22753497,0,,0,,,,,,0,,,0,,,,,,0,,VZV_Ellen,HCMV
SRR22753497,0,0,,,0,,,,,,0,,,0,,,,,,EBV,HHV7
SRR22753497,0,0,,,,,,,,10,0,,,,,,,,10,EBV,combined_herpes_viruses
SRR22753497,0,0,,,,,,13,,,0,,,,,,13,,,EBV,KSHV
SRR22753497,0,0,,2,,,,,,,0,,2,,,,,,,EBV,HHV6B
SRR22753497,0,0,,,,8,,,,,0,,,,8,,,,,EBV,HSV1_KOS
SRR22753497,0,0,,,,,7,,,,0,,,,,7,,,,EBV,HSV2_StrainG
SRR22753497,0,0,0,,,,,,,,0,0,,,,,,,,EBV,HCMV
SRR22753497,0,,,,0,,,,,10,,,,0,,,,,10,HHV7,combined_herpes_viruses
SRR22753497,0,,,,0,,,13,,,,,,0,,,13,,,HHV7,KSHV
SRR22753497,0,,,2,0,,,,,,,,2,0,,,,,,HHV7,HHV6B
SRR22753497,0,,,,0,8,,,,,,,,0,8,,,,,HHV7,HSV1_KOS
SRR22753497,0,,,,0,,7,,,,,,,0,,7,,,,HHV7,HSV2_StrainG
SRR22753497,0,,0,,0,,,,,,,0,,0,,,,,,HHV7,HCMV
SRR22753497,2,,,,,,,13,,10,,,,,,,11,,8,combined_herpes_viruses,KSHV
SRR22753497,1,,,2,,,,,,10,,,1,,,,,,9,combined_herpes_viruses,HHV6B
SRR22753497,5,,,,,8,,,,10,,,,,3,,,,5,combined_herpes_viruses,HSV1_KOS
SRR22753497,1,,,,,,7,,,10,,,,,,6,,,9,combined_herpes_viruses,HSV2_StrainG
SRR22753497,0,,0,,,,,,,10,,0,,,,,,,10,combined_herpes_viruses,HCMV
SRR22753497,2,,,2,,,,13,,,,,0,,,,11,,,KSHV,HHV6B
SRR22753497,0,,,,,8,,13,,,,,,,8,,13,,,KSHV,HSV1_KOS
SRR22753497,2,,,,,,7,13,,,,,,,,5,11,,,KSHV,HSV2_StrainG
SRR22753497,0,,0,,,,,13,,,,0,,,,,13,,,KSHV,HCMV
SRR22753497,0,,,2,,8,,,,,,,2,,8,,,,,HHV6B,HSV1_KOS
SRR22753497,2,,,2,,,7,,,,,,0,,,5,,,,HHV6B,HSV2_StrainG
SRR22753497,0,,0,2,,,,,,,,0,2,,,,,,,HHV6B,HCMV
SRR22753497,0,,,,,8,7,,,,,,,,8,7,,,,HSV1_KOS,HSV2_StrainG
SRR22753497,0,,0,,,8,,,,,,0,,,8,,,,,HSV1_KOS,HCMV
SRR22753497,0,,0,,,,7,,,,,0,,,,7,,,,HSV2_StrainG,HCMV
