"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753378","HCMV","0","-nan%"
"SRR22753378","HHV6B","1","7.69%"
"SRR22753378","HHV7","0","-nan%"
"SRR22753378","HSV1_KOS","7","6.48%"
"SRR22753378","HSV2_StrainG","0","-nan%"
"SRR22753378","KSHV","3","6.61%"
"SRR22753378","VZV_Ellen","0","-nan%"
"SRR22753379","combined_herpes_viruses","0","-nan%"
"SRR22753379","EBV","0","-nan%"
"SRR22753379","HCMV","0","-nan%"
"SRR22753379","HHV6B","1","8.00%"
"SRR22753379","HHV7","0","-nan%"
"SRR22753379","HSV1_KOS","13","5.69%"
"SRR22753379","HSV2_StrainG","2","9.80%"
"SRR22753379","KSHV","3","9.58%"
"SRR22753379","VZV_Ellen","0","-nan%"
"SRR22753380","combined_herpes_viruses","0","-nan%"
"SRR22753380","EBV","0","-nan%"
"SRR22753380","HCMV","0","-nan%"
"SRR22753380","HHV6B","0","-nan%"
"SRR22753380","HHV7","0","-nan%"
"SRR22753380","HSV1_KOS","12","5.49%"
"SRR22753380","HSV2_StrainG","1","8.54%"
"SRR22753380","KSHV","9","6.70%"
"SRR22753380","VZV_Ellen","0","-nan%"
"SRR22753381","combined_herpes_viruses","0","-nan%"
"SRR22753381","EBV","0","-nan%"
"SRR22753381","HCMV","0","-nan%"
"SRR22753381","HHV6B","0","-nan%"
"SRR22753381","HHV7","0","-nan%"
"SRR22753381","HSV1_KOS","5","4.70%"
"SRR22753381","HSV2_StrainG","1","10.53%"
"SRR22753381","KSHV","5","8.58%"
"SRR22753381","VZV_Ellen","0","-nan%"
"SRR22753382","combined_herpes_viruses","0","-nan%"
"SRR22753382","EBV","0","-nan%"
"SRR22753382","HCMV","0","-nan%"
"SRR22753382","HHV6B","0","-nan%"
"SRR22753382","HHV7","0","-nan%"
"SRR22753382","HSV1_KOS","1","0.00%"
"SRR22753382","HSV2_StrainG","3","7.54%"
"SRR22753382","KSHV","4","9.29%"
"SRR22753382","VZV_Ellen","0","-nan%"
"SRR22753383","combined_herpes_viruses","0","-nan%"
"SRR22753383","EBV","0","-nan%"
"SRR22753383","HCMV","0","-nan%"
"SRR22753383","HHV6B","0","-nan%"
"SRR22753383","HHV7","0","-nan%"
"SRR22753383","HSV1_KOS","1","6.58%"
"SRR22753383","HSV2_StrainG","2","8.48%"
"SRR22753383","KSHV","7","7.02%"
"SRR22753383","VZV_Ellen","0","-nan%"
"SRR22753384","combined_herpes_viruses","0","-nan%"
"SRR22753384","EBV","0","-nan%"
"SRR22753384","HCMV","0","-nan%"
"SRR22753384","HHV6B","0","-nan%"
"SRR22753384","HHV7","0","-nan%"
"SRR22753384","HSV1_KOS","0","-nan%"
"SRR22753384","HSV2_StrainG","1","8.33%"
"SRR22753384","KSHV","5","7.09%"
"SRR22753384","VZV_Ellen","0","-nan%"
"SRR22753385","combined_herpes_viruses","0","-nan%"
"SRR22753385","EBV","1","7.69%"
"SRR22753385","HCMV","0","-nan%"
"SRR22753385","HHV6B","0","-nan%"
"SRR22753385","HHV7","0","-nan%"
"SRR22753385","HSV1_KOS","1","5.06%"
"SRR22753385","HSV2_StrainG","1","9.30%"
"SRR22753385","KSHV","5","7.87%"
"SRR22753385","VZV_Ellen","0","-nan%"
"SRR22753386","combined_herpes_viruses","0","-nan%"
"SRR22753386","EBV","0","-nan%"
"SRR22753386","HCMV","0","-nan%"
"SRR22753386","HHV6B","2","9.52%"
"SRR22753386","HHV7","0","-nan%"
"SRR22753386","HSV1_KOS","0","-nan%"
"SRR22753386","HSV2_StrainG","0","-nan%"
"SRR22753386","KSHV","0","-nan%"
"SRR22753386","VZV_Ellen","0","-nan%"
"SRR22753387","combined_herpes_viruses","0","-nan%"
"SRR22753387","EBV","0","-nan%"
"SRR22753387","HCMV","0","-nan%"
