sample,virus,uniquely_mapped_reads,multi_mapped_reads,total_mapped_reads,disease,cell_type
SRR22753365,combined_herpes_viruses,13,133,146,"s3,CD4
SRR22753365,EBV,1,0,1,"s3,CD4
SRR22753365,HCMV,0,1,1,"s3,CD4
SRR22753365,HHV6B,0,2,2,"s3,CD4
SRR22753365,HHV7,0,0,0,"s3,CD4
SRR22753365,HSV1_KOS,16,158,174,"s3,CD4
SRR22753365,HSV2_StrainG,0,5,5,"s3,CD4
SRR22753365,KSHV,4,3,7,"s3,CD4
SRR22753365,VZV_Ellen,0,0,0,"s3,CD4
SRR22753366,combined_herpes_viruses,22,218,240,"s3,CD19
SRR22753366,EBV,0,0,0,"s3,CD19
SRR22753366,HCMV,3,1,4,"s3,CD19
SRR22753366,HHV6B,0,2,2,"s3,CD19
SRR22753366,HHV7,0,0,0,"s3,CD19
SRR22753366,HSV1_KOS,46,255,301,"s3,CD19
SRR22753366,HSV2_StrainG,0,3,3,"s3,CD19
SRR22753366,KSHV,9,9,18,"s3,CD19
SRR22753367,combined_herpes_viruses,10,82,92,"ncbi,CD19
SRR22753367,EBV,4,1,5,"ncbi,CD19
SRR22753367,HCMV,1,2,3,"ncbi,CD19
SRR22753367,HHV6B,0,4,4,"ncbi,CD19
SRR22753367,HHV7,1,0,1,"ncbi,CD19
SRR22753367,HSV1_KOS,12,96,108,"ncbi,CD19
SRR22753368,combined_herpes_viruses,14,74,88,"ncbi,CD4
SRR22753368,EBV,1,0,1,"ncbi,CD4
SRR22753368,HCMV,1,1,2,"ncbi,CD4
SRR22753368,HHV6B,2,2,4,"ncbi,CD4
SRR22753368,HHV7,0,0,0,"ncbi,CD4
SRR22753368,HSV1_KOS,21,110,131,"ncbi,CD4
SRR22753369,combined_herpes_viruses,8,10,18,"ncbi,PBMC
SRR22753369,EBV,0,0,0,"ncbi,PBMC
SRR22753369,HCMV,3,0,3,"ncbi,PBMC
SRR22753369,HHV6B,5,19,24,"ncbi,PBMC
SRR22753369,HHV7,0,1,1,"ncbi,PBMC
SRR22753370,combined_herpes_viruses,0,3,3,"gs,CD19
SRR22753370,EBV,0,0,0,"gs,CD19
SRR22753370,HCMV,0,0,0,"gs,CD19
SRR22753370,HHV6B,0,0,0,"gs,CD19
SRR22753370,HHV7,0,0,0,"gs,CD19
SRR22753370,HSV1_KOS,1,7,8,"gs,CD19
SRR22753370,HSV2_StrainG,0,1,1,"gs,CD19
SRR22753370,KSHV,3,0,3,"gs,CD19
SRR22753370,VZV_Ellen,0,0,0,"gs,CD19
SRR22753371,combined_herpes_viruses,1,2,3,"gs,CD19
SRR22753371,EBV,0,0,0,"gs,CD19
SRR22753371,HCMV,1,0,1,"gs,CD19
SRR22753371,HHV6B,1,1,2,"gs,CD19
SRR22753371,HHV7,0,0,0,"gs,CD19
